config,n_features,epochs,train_loss,train_accuracy,train_f1_macro,train_f1_weighted,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,time_s
All 16 features,16,117,0.1453,0.9454,0.9557,0.9455,0.198682,0.9265,0.9396,0.9266,2.28
Top 8 features (SelectKBest),8,65,0.215343,0.92,0.9313,0.9204,0.220622,0.9148,0.9283,0.9151,1.19
